[2019-05-12 21:31:51]: Path: save/1557667911/ is created
[2019-05-12 21:32:09]: Start train process.
[2019-05-12 21:52:06]: | epoch   2 |  3400/ 3494 batches | rec loss 0.4741 | dis loss 0.1201 |
[2019-05-12 21:52:14]: | end of epoch   2 | time: 315.41s |
[2019-05-12 21:52:14]: | epoch   3 |     0/ 3494 batches | rec loss 0.5038 | dis loss 0.2106 |
[2019-05-12 21:52:32]: | epoch   3 |   200/ 3494 batches | rec loss 0.4325 | dis loss 0.1865 |
[2019-05-12 21:52:49]: | epoch   3 |   400/ 3494 batches | rec loss 0.5062 | dis loss 0.2326 |
[2019-05-12 21:53:07]: | epoch   3 |   600/ 3494 batches | rec loss 0.4589 | dis loss 0.1964 |
[2019-05-12 21:53:25]: | epoch   3 |   800/ 3494 batches | rec loss 0.5135 | dis loss 0.3093 |
[2019-05-12 21:53:42]: | epoch   3 |  1000/ 3494 batches | rec loss 0.5268 | dis loss 0.1853 |
[2019-05-12 21:54:00]: | epoch   3 |  1200/ 3494 batches | rec loss 0.4812 | dis loss 0.2080 |
[2019-05-12 21:54:17]: | epoch   3 |  1400/ 3494 batches | rec loss 0.4787 | dis loss 0.1588 |
[2019-05-12 21:54:35]: | epoch   3 |  1600/ 3494 batches | rec loss 0.4050 | dis loss 0.1772 |
[2019-05-12 21:54:52]: | epoch   3 |  1800/ 3494 batches | rec loss 0.4456 | dis loss 0.1748 |
[2019-05-12 21:55:10]: | epoch   3 |  2000/ 3494 batches | rec loss 0.4655 | dis loss 0.1734 |
[2019-05-12 21:55:27]: | epoch   3 |  2200/ 3494 batches | rec loss 0.4981 | dis loss 0.2037 |
[2019-05-12 21:55:44]: | epoch   3 |  2400/ 3494 batches | rec loss 0.5143 | dis loss 0.1871 |
[2019-05-12 21:56:02]: | epoch   3 |  2600/ 3494 batches | rec loss 0.5318 | dis loss 0.2153 |
[2019-05-12 21:56:19]: | epoch   3 |  2800/ 3494 batches | rec loss 0.5438 | dis loss 0.2554 |
[2019-05-12 21:56:37]: | epoch   3 |  3000/ 3494 batches | rec loss 0.4978 | dis loss 0.1944 |
[2019-05-12 21:56:54]: | epoch   3 |  3200/ 3494 batches | rec loss 0.4419 | dis loss 0.1201 |
[2019-05-12 21:57:12]: | epoch   3 |  3400/ 3494 batches | rec loss 0.4299 | dis loss 0.1112 |
[2019-05-12 21:57:20]: | end of epoch   3 | time: 305.96s |
[2019-05-12 21:57:21]: | epoch   4 |     0/ 3494 batches | rec loss 0.4591 | dis loss 0.1690 |
[2019-05-12 21:57:38]: | epoch   4 |   200/ 3494 batches | rec loss 0.4136 | dis loss 0.1904 |
[2019-05-12 21:57:56]: | epoch   4 |   400/ 3494 batches | rec loss 0.4503 | dis loss 0.2368 |
[2019-05-12 21:58:13]: | epoch   4 |   600/ 3494 batches | rec loss 0.4090 | dis loss 0.1871 |
[2019-05-12 21:58:31]: | epoch   4 |   800/ 3494 batches | rec loss 0.4766 | dis loss 0.2600 |
[2019-05-12 21:58:48]: | epoch   4 |  1000/ 3494 batches | rec loss 0.4683 | dis loss 0.1947 |
[2019-05-12 21:59:06]: | epoch   4 |  1200/ 3494 batches | rec loss 0.4253 | dis loss 0.1748 |
[2019-05-12 21:59:23]: | epoch   4 |  1400/ 3494 batches | rec loss 0.4041 | dis loss 0.1529 |
[2019-05-12 21:59:41]: | epoch   4 |  1600/ 3494 batches | rec loss 0.3881 | dis loss 0.1781 |
[2019-05-12 21:59:58]: | epoch   4 |  1800/ 3494 batches | rec loss 0.4079 | dis loss 0.1633 |
[2019-05-12 22:00:16]: | epoch   4 |  2000/ 3494 batches | rec loss 0.4375 | dis loss 0.2263 |
[2019-05-12 22:00:34]: | epoch   4 |  2200/ 3494 batches | rec loss 0.4428 | dis loss 0.2280 |
[2019-05-12 22:00:51]: | epoch   4 |  2400/ 3494 batches | rec loss 0.4527 | dis loss 0.1655 |
[2019-05-12 22:01:09]: | epoch   4 |  2600/ 3494 batches | rec loss 0.4694 | dis loss 0.2115 |
[2019-05-12 22:01:26]: | epoch   4 |  2800/ 3494 batches | rec loss 0.4878 | dis loss 0.1919 |
[2019-05-12 22:01:44]: | epoch   4 |  3000/ 3494 batches | rec loss 0.4445 | dis loss 0.1908 |
[2019-05-12 22:02:01]: | epoch   4 |  3200/ 3494 batches | rec loss 0.4221 | dis loss 0.0947 |
[2019-05-12 22:02:19]: | epoch   4 |  3400/ 3494 batches | rec loss 0.3875 | dis loss 0.0879 |
[2019-05-12 22:02:28]: | end of epoch   4 | time: 307.08s |
[2019-05-12 22:02:28]: | epoch   5 |     0/ 3494 batches | rec loss 0.4061 | dis loss 0.1980 |
[2019-05-12 22:02:45]: | epoch   5 |   200/ 3494 batches | rec loss 0.3574 | dis loss 0.1597 |
[2019-05-12 22:03:02]: | epoch   5 |   400/ 3494 batches | rec loss 0.4202 | dis loss 0.1978 |
[2019-05-12 22:03:20]: | epoch   5 |   600/ 3494 batches | rec loss 0.3865 | dis loss 0.1579 |
[2019-05-12 22:03:37]: | epoch   5 |   800/ 3494 batches | rec loss 0.4296 | dis loss 0.2425 |
[2019-05-12 22:03:55]: | epoch   5 |  1000/ 3494 batches | rec loss 0.4341 | dis loss 0.1509 |
[2019-05-12 22:04:12]: | epoch   5 |  1200/ 3494 batches | rec loss 0.4232 | dis loss 0.1866 |
[2019-05-12 22:04:32]: | epoch   5 |  1400/ 3494 batches | rec loss 0.3695 | dis loss 0.1572 |
[2019-05-12 22:04:50]: | epoch   5 |  1600/ 3494 batches | rec loss 0.3688 | dis loss 0.1591 |
[2019-05-12 22:05:08]: | epoch   5 |  1800/ 3494 batches | rec loss 0.3745 | dis loss 0.1807 |
[2019-05-12 22:05:25]: | epoch   5 |  2000/ 3494 batches | rec loss 0.3925 | dis loss 0.2140 |
[2019-05-12 22:05:43]: | epoch   5 |  2200/ 3494 batches | rec loss 0.4286 | dis loss 0.2166 |
[2019-05-12 22:06:01]: | epoch   5 |  2400/ 3494 batches | rec loss 0.4429 | dis loss 0.1518 |
[2019-05-12 22:06:18]: | epoch   5 |  2600/ 3494 batches | rec loss 0.4740 | dis loss 0.1990 |
[2019-05-12 22:06:36]: | epoch   5 |  2800/ 3494 batches | rec loss 0.4788 | dis loss 0.2136 |
[2019-05-12 22:07:03]: | epoch   5 |  3000/ 3494 batches | rec loss 0.4285 | dis loss 0.1589 |
[2019-05-12 22:07:37]: | epoch   5 |  3200/ 3494 batches | rec loss 0.4008 | dis loss 0.0945 |
[2019-05-12 22:08:11]: | epoch   5 |  3400/ 3494 batches | rec loss 0.3807 | dis loss 0.0775 |
[2019-05-12 22:08:27]: | end of epoch   5 | time: 359.33s |
[2019-05-12 22:08:27]: | epoch   6 |     0/ 3494 batches | rec loss 0.3899 | dis loss 0.2142 |
[2019-05-12 22:09:01]: | epoch   6 |   200/ 3494 batches | rec loss 0.3170 | dis loss 0.1599 |
[2019-05-12 22:09:34]: | epoch   6 |   400/ 3494 batches | rec loss 0.4230 | dis loss 0.1839 |
[2019-05-12 22:10:02]: | epoch   6 |   600/ 3494 batches | rec loss 0.3457 | dis loss 0.1582 |
[2019-05-12 22:10:20]: | epoch   6 |   800/ 3494 batches | rec loss 0.4162 | dis loss 0.2732 |
[2019-05-12 22:10:48]: | epoch   6 |  1000/ 3494 batches | rec loss 0.4108 | dis loss 0.1756 |
[2019-05-12 22:11:22]: | epoch   6 |  1200/ 3494 batches | rec loss 0.3962 | dis loss 0.1574 |
[2019-05-12 22:11:56]: | epoch   6 |  1400/ 3494 batches | rec loss 0.3422 | dis loss 0.1401 |
[2019-05-12 22:12:30]: | epoch   6 |  1600/ 3494 batches | rec loss 0.3389 | dis loss 0.1678 |
[2019-05-12 22:13:04]: | epoch   6 |  1800/ 3494 batches | rec loss 0.3649 | dis loss 0.1644 |
[2019-05-12 22:13:38]: | epoch   6 |  2000/ 3494 batches | rec loss 0.3883 | dis loss 0.2131 |
[2019-05-12 22:14:12]: | epoch   6 |  2200/ 3494 batches | rec loss 0.3866 | dis loss 0.2105 |
